10/9 20:33:26.282  ---- Startup ----
10/9 20:34:00.971  ---- ClientAvailableHotfixes ----
10/9 20:34:00.986  ---- UserClientHotfixRequest ----
10/9 20:34:00.986  ---- ApplyingHotfixes from Cache ----
10/9 20:34:00.995  	68943 Table CharSectionCondition RecID 8 VALIDATION_RESULT_VALID
10/9 20:34:00.995  	68943 Table ChrCustomizationReqChoice RecID 3718 VALIDATION_RESULT_VALID
10/9 20:34:00.995  	68943 Table ChrCustomizationReqChoice RecID 3719 VALIDATION_RESULT_VALID
10/9 20:34:00.995  	68943 Table ChrCustomizationReqChoice RecID 3720 VALIDATION_RESULT_VALID
10/9 20:34:00.995  	68943 Table ChrCustomizationReqChoice RecID 3721 VALIDATION_RESULT_VALID
10/9 20:34:00.995  	68943 Table ChrCustomizationReqChoice RecID 3722 VALIDATION_RESULT_VALID
10/9 20:34:00.995  	68943 Table ChrCustomizationReqChoice RecID 3723 VALIDATION_RESULT_VALID
10/9 20:34:00.995  	68943 Table ChrCustomizationReqChoice RecID 3724 VALIDATION_RESULT_VALID
10/9 20:34:00.995  	68943 Table ChrCustomizationReqChoice RecID 3725 VALIDATION_RESULT_VALID
10/9 20:34:00.995  	68943 Table ChrCustomizationReqChoice RecID 3726 VALIDATION_RESULT_VALID
10/9 20:34:00.995  	68943 Table ChrCustomizationReqChoice RecID 3727 VALIDATION_RESULT_VALID
10/9 20:34:00.995  	68943 Table ChrCustomizationReqChoice RecID 3728 VALIDATION_RESULT_VALID
10/9 20:34:00.995  	68943 Table ChrCustomizationReqChoice RecID 3729 VALIDATION_RESULT_VALID
10/9 20:34:00.995  	68943 Table ChrCustomizationReqChoice RecID 3730 VALIDATION_RESULT_VALID
10/9 20:34:00.995  	68943 Table ChrCustomizationReqChoice RecID 3731 VALIDATION_RESULT_VALID
10/9 20:34:00.995  	68943 Table ChrCustomizationReqChoice RecID 3732 VALIDATION_RESULT_VALID
10/9 20:34:00.995  	68943 Table ChrCustomizationReqChoice RecID 3733 VALIDATION_RESULT_VALID
10/9 20:34:00.995  	68943 Table ChrCustomizationReqChoice RecID 3734 VALIDATION_RESULT_VALID
10/9 20:34:00.995  	68943 Table ChrCustomizationReqChoice RecID 3735 VALIDATION_RESULT_VALID
10/9 20:34:00.995  	68943 Table ChrCustomizationReqChoice RecID 3736 VALIDATION_RESULT_VALID
10/9 20:34:00.995  	68943 Table ChrCustomizationReqChoice RecID 3737 VALIDATION_RESULT_VALID
10/9 20:34:00.995  	68943 Table ChrCustomizationReqChoice RecID 3738 VALIDATION_RESULT_VALID
10/9 20:34:00.995  	68943 Table ChrCustomizationReqChoice RecID 3739 VALIDATION_RESULT_VALID
10/9 20:34:00.995  	68943 Table ChrCustomizationReqChoice RecID 3740 VALIDATION_RESULT_VALID
10/9 20:34:00.995  	68943 Table ChrCustomizationReqChoice RecID 3741 VALIDATION_RESULT_VALID
10/9 20:34:00.995  	68943 Table ChrCustomizationReqChoice RecID 3742 VALIDATION_RESULT_VALID
10/9 20:34:00.995  	68943 Table ChrCustomizationReqChoice RecID 3743 VALIDATION_RESULT_VALID
10/9 20:34:00.995  	68943 Table ChrCustomizationReqChoice RecID 3744 VALIDATION_RESULT_VALID
10/9 20:34:00.995  	68943 Table ChrCustomizationReqChoice RecID 3745 VALIDATION_RESULT_VALID
10/9 20:34:00.995  	68943 Table ChrCustomizationReqChoice RecID 3746 VALIDATION_RESULT_VALID
10/9 20:34:00.995  	68943 Table ChrCustomizationReqChoice RecID 3747 VALIDATION_RESULT_VALID
10/9 20:34:00.995  	68943 Table ChrCustomizationReqChoice RecID 3748 VALIDATION_RESULT_VALID
10/9 20:34:00.995  	68943 Table ChrCustomizationReqChoice RecID 3749 VALIDATION_RESULT_VALID
10/9 20:34:00.995  	68943 Table ChrCustomizationReqChoice RecID 3750 VALIDATION_RESULT_VALID
10/9 20:34:00.995  	68943 Table ChrCustomizationReqChoice RecID 3751 VALIDATION_RESULT_VALID
10/9 20:34:00.995  	68943 Table ChrCustomizationReqChoice RecID 3752 VALIDATION_RESULT_VALID
10/9 20:34:00.995  	68943 Table ChrCustomizationReqChoice RecID 3753 VALIDATION_RESULT_VALID
10/9 20:34:00.995  	68943 Table ChrCustomizationReqChoice RecID 3754 VALIDATION_RESULT_VALID
10/9 20:34:00.995  	68943 Table ChrCustomizationReqChoice RecID 3755 VALIDATION_RESULT_VALID
10/9 20:34:00.995  	68943 Table ChrCustomizationReqChoice RecID 3756 VALIDATION_RESULT_VALID
10/9 20:34:00.995  	68943 Table ChrCustomizationReqChoice RecID 3757 VALIDATION_RESULT_VALID
10/9 20:34:00.995  	68943 Table ChrCustomizationReqChoice RecID 3758 VALIDATION_RESULT_VALID
10/9 20:34:00.995  	68943 Table ChrCustomizationReqChoice RecID 3759 VALIDATION_RESULT_VALID
10/9 20:34:00.995  	68943 Table ChrCustomizationReqChoice RecID 3760 VALIDATION_RESULT_VALID
10/9 20:34:00.995  	68943 Table ChrCustomizationReqChoice RecID 3761 VALIDATION_RESULT_VALID
10/9 20:34:00.995  	68943 Table ChrCustomizationReqChoice RecID 3762 VALIDATION_RESULT_VALID
10/9 20:34:00.995  	68943 Table ChrCustomizationReqChoice RecID 3763 VALIDATION_RESULT_VALID
10/9 20:34:00.995  	68943 Table ChrCustomizationReqChoice RecID 3764 VALIDATION_RESULT_VALID
10/9 20:34:00.995  	68943 Table ChrCustomizationReqChoice RecID 3765 VALIDATION_RESULT_VALID
10/9 20:34:00.995  	68943 Table ChrCustomizationReqChoice RecID 3766 VALIDATION_RESULT_VALID
10/9 20:34:00.995  	68943 Table ChrCustomizationReqChoice RecID 3767 VALIDATION_RESULT_VALID
10/9 20:34:00.995  	68943 Table ChrCustomizationReqChoice RecID 3768 VALIDATION_RESULT_VALID
10/9 20:34:00.995  	68943 Table ChrCustomizationReqChoice RecID 3769 VALIDATION_RESULT_VALID
10/9 20:34:00.995  	68943 Table ChrCustomizationReqChoice RecID 3770 VALIDATION_RESULT_VALID
10/9 20:34:00.995  	68943 Table ChrCustomizationReqChoice RecID 3771 VALIDATION_RESULT_VALID
10/9 20:34:00.995  	68943 Table ChrCustomizationReqChoice RecID 3772 VALIDATION_RESULT_VALID
10/9 20:34:00.995  	68943 Table ChrCustomizationReqChoice RecID 3773 VALIDATION_RESULT_VALID
10/9 20:34:00.995  	68943 Table ChrCustomizationReqChoice RecID 3774 VALIDATION_RESULT_VALID
10/9 20:34:00.995  	68943 Table ChrCustomizationReqChoice RecID 3775 VALIDATION_RESULT_VALID
10/9 20:34:00.995  	68943 Table ChrCustomizationReqChoice RecID 3776 VALIDATION_RESULT_VALID
10/9 20:34:00.995  	68943 Table ChrCustomizationReqChoice RecID 3777 VALIDATION_RESULT_VALID
10/9 20:34:00.995  	68943 Table ChrCustomizationReqChoice RecID 3778 VALIDATION_RESULT_VALID
10/9 20:34:00.995  	68943 Table ChrCustomizationReqChoice RecID 3779 VALIDATION_RESULT_VALID
10/9 20:34:00.995  	68943 Table ChrCustomizationReqChoice RecID 3780 VALIDATION_RESULT_VALID
10/9 20:34:00.995  	68943 Table ChrCustomizationReqChoice RecID 3781 VALIDATION_RESULT_VALID
10/9 20:34:00.995  	68943 Table ChrCustomizationReqChoice RecID 3782 VALIDATION_RESULT_VALID
10/9 20:34:00.995  	68943 Table ChrCustomizationReqChoice RecID 3783 VALIDATION_RESULT_VALID
10/9 20:34:00.995  	68943 Table ChrCustomizationReqChoice RecID 3784 VALIDATION_RESULT_VALID
10/9 20:34:00.995  	68943 Table ChrCustomizationReqChoice RecID 3785 VALIDATION_RESULT_VALID
10/9 20:34:00.995  	68943 Table ChrCustomizationReqChoice RecID 3786 VALIDATION_RESULT_VALID
10/9 20:34:00.995  	68943 Table ChrCustomizationReqChoice RecID 3787 VALIDATION_RESULT_VALID
10/9 20:34:00.995  	68943 Table ChrCustomizationReqChoice RecID 3788 VALIDATION_RESULT_VALID
10/9 20:34:00.995  	68943 Table ChrCustomizationReqChoice RecID 3789 VALIDATION_RESULT_VALID
10/9 20:34:00.995  	68943 Table ChrCustomizationReqChoice RecID 3790 VALIDATION_RESULT_VALID
10/9 20:34:00.995  	68943 Table ChrCustomizationReqChoice RecID 3791 VALIDATION_RESULT_VALID
10/9 20:34:00.995  	68943 Table ChrCustomizationReqChoice RecID 3792 VALIDATION_RESULT_VALID
10/9 20:34:00.995  	68943 Table ChrCustomizationReqChoice RecID 3793 VALIDATION_RESULT_VALID
10/9 20:34:00.995  	68943 Table ChrCustomizationReqChoice RecID 3794 VALIDATION_RESULT_VALID
10/9 20:34:00.995  	68943 Table ChrCustomizationReqChoice RecID 3795 VALIDATION_RESULT_VALID
10/9 20:34:00.995  	68943 Table ChrCustomizationReqChoice RecID 3796 VALIDATION_RESULT_VALID
10/9 20:34:00.995  	68943 Table ChrCustomizationReqChoice RecID 3797 VALIDATION_RESULT_VALID
10/9 20:34:00.995  	68943 Table ChrCustomizationReqChoice RecID 3798 VALIDATION_RESULT_VALID
10/9 20:34:00.995  	68943 Table ChrCustomizationReqChoice RecID 3799 VALIDATION_RESULT_VALID
10/9 20:34:00.995  	68943 Table ChrCustomizationReqChoice RecID 3800 VALIDATION_RESULT_VALID
10/9 20:34:00.995  	68943 Table ChrCustomizationReqChoice RecID 3801 VALIDATION_RESULT_VALID
10/9 20:34:00.995  	68943 Table ChrCustomizationReqChoice RecID 3802 VALIDATION_RESULT_VALID
10/9 20:34:00.995  	68943 Table ChrCustomizationReqChoice RecID 3803 VALIDATION_RESULT_VALID
10/9 20:34:00.995  	68943 Table ChrCustomizationReqChoice RecID 3804 VALIDATION_RESULT_VALID
10/9 20:34:00.995  	68943 Table ChrCustomizationReqChoice RecID 3805 VALIDATION_RESULT_VALID
10/9 20:34:00.995  	68943 Table ChrCustomizationReqChoice RecID 3806 VALIDATION_RESULT_VALID
10/9 20:34:00.995  	68943 Table ChrCustomizationReqChoice RecID 3807 VALIDATION_RESULT_VALID
10/9 20:34:00.995  	68943 Table ChrCustomizationReqChoice RecID 3808 VALIDATION_RESULT_VALID
10/9 20:34:00.995  	68943 Table ChrCustomizationReqChoice RecID 3809 VALIDATION_RESULT_VALID
10/9 20:34:00.995  	68943 Table ChrCustomizationReqChoice RecID 3810 VALIDATION_RESULT_VALID
10/9 20:34:00.995  	68943 Table ChrCustomizationReqChoice RecID 3811 VALIDATION_RESULT_VALID
10/9 20:34:00.995  	68943 Table ChrCustomizationReqChoice RecID 3812 VALIDATION_RESULT_VALID
10/9 20:34:00.995  	68943 Table ChrCustomizationReqChoice RecID 3813 VALIDATION_RESULT_VALID
10/9 20:34:00.995  	68943 Table ChrCustomizationReqChoice RecID 3814 VALIDATION_RESULT_VALID
10/9 20:34:00.995  	68943 Table ChrCustomizationReqChoice RecID 3815 VALIDATION_RESULT_VALID
10/9 20:34:00.995  	68943 Table ChrCustomizationReqChoice RecID 3816 VALIDATION_RESULT_VALID
10/9 20:34:00.995  	68943 Table ChrCustomizationReqChoice RecID 3817 VALIDATION_RESULT_VALID
10/9 20:34:00.995  	68943 Table ChrCustomizationReqChoice RecID 3818 VALIDATION_RESULT_VALID
10/9 20:34:00.995  	68943 Table ChrCustomizationReqChoice RecID 3819 VALIDATION_RESULT_VALID
10/9 20:34:00.995  	68943 Table ChrCustomizationReqChoice RecID 3820 VALIDATION_RESULT_VALID
10/9 20:34:00.995  	68943 Table ChrCustomizationReqChoice RecID 3821 VALIDATION_RESULT_VALID
10/9 20:34:00.995  	68943 Table ChrCustomizationReqChoice RecID 3822 VALIDATION_RESULT_VALID
10/9 20:34:00.995  	68943 Table ChrCustomizationReqChoice RecID 3823 VALIDATION_RESULT_VALID
10/9 20:34:00.995  	68943 Table ChrCustomizationReqChoice RecID 3824 VALIDATION_RESULT_VALID
10/9 20:34:00.995  	68943 Table ChrCustomizationReqChoice RecID 3825 VALIDATION_RESULT_VALID
10/9 20:34:00.995  	68943 Table ChrCustomizationReqChoice RecID 3826 VALIDATION_RESULT_VALID
10/9 20:34:00.995  	68943 Table ChrCustomizationReqChoice RecID 3827 VALIDATION_RESULT_VALID
10/9 20:34:00.995  	68943 Table ChrCustomizationReqChoice RecID 3828 VALIDATION_RESULT_VALID
10/9 20:34:00.995  	68943 Table ChrCustomizationReqChoice RecID 3829 VALIDATION_RESULT_VALID
10/9 20:34:00.995  	68943 Table ChrCustomizationReqChoice RecID 3830 VALIDATION_RESULT_VALID
10/9 20:34:00.995  	68943 Table ChrCustomizationReqChoice RecID 3831 VALIDATION_RESULT_VALID
10/9 20:34:00.995  	68943 Table ChrCustomizationReqChoice RecID 3832 VALIDATION_RESULT_VALID
10/9 20:34:00.995  	68943 Table ChrCustomizationReqChoice RecID 3833 VALIDATION_RESULT_VALID
10/9 20:34:00.995  	68943 Table ChrCustomizationReqChoice RecID 3834 VALIDATION_RESULT_VALID
10/9 20:34:00.995  	68943 Table ChrCustomizationReqChoice RecID 3835 VALIDATION_RESULT_VALID
10/9 20:34:00.995  	68943 Table ChrCustomizationReqChoice RecID 3836 VALIDATION_RESULT_VALID
10/9 20:34:00.995  	68943 Table ChrCustomizationReqChoice RecID 3837 VALIDATION_RESULT_VALID
10/9 20:34:00.995  	68943 Table ChrCustomizationReqChoice RecID 3838 VALIDATION_RESULT_VALID
10/9 20:34:00.995  	68943 Table ChrCustomizationReqChoice RecID 3839 VALIDATION_RESULT_VALID
10/9 20:34:00.995  	68943 Table ChrCustomizationReqChoice RecID 3840 VALIDATION_RESULT_VALID
10/9 20:34:00.995  	68943 Table ChrCustomizationReqChoice RecID 3841 VALIDATION_RESULT_VALID
10/9 20:34:00.995  	68943 Table ChrCustomizationReqChoice RecID 3842 VALIDATION_RESULT_VALID
10/9 20:34:00.995  	68943 Table ChrCustomizationReqChoice RecID 3843 VALIDATION_RESULT_VALID
10/9 20:34:00.995  	68943 Table ChrCustomizationReqChoice RecID 3844 VALIDATION_RESULT_VALID
10/9 20:34:00.995  	68943 Table ChrCustomizationReqChoice RecID 3845 VALIDATION_RESULT_VALID
10/9 20:34:00.995  	68943 Table ChrCustomizationReqChoice RecID 3846 VALIDATION_RESULT_VALID
10/9 20:34:00.995  	68943 Table ChrCustomizationReqChoice RecID 3847 VALIDATION_RESULT_VALID
10/9 20:34:00.995  	68943 Table ChrCustomizationReqChoice RecID 3848 VALIDATION_RESULT_VALID
10/9 20:34:00.995  	68943 Table ChrCustomizationReqChoice RecID 3849 VALIDATION_RESULT_VALID
10/9 20:34:00.995  	68943 Table ChrCustomizationReqChoice RecID 3850 VALIDATION_RESULT_VALID
10/9 20:34:00.995  	68943 Table ChrCustomizationReqChoice RecID 3851 VALIDATION_RESULT_VALID
10/9 20:34:00.995  	68943 Table ChrCustomizationReqChoice RecID 3852 VALIDATION_RESULT_VALID
10/9 20:34:00.995  	68943 Table ChrCustomizationReqChoice RecID 3853 VALIDATION_RESULT_VALID
10/9 20:34:00.995  	68943 Table ChrCustomizationReqChoice RecID 3854 VALIDATION_RESULT_VALID
10/9 20:34:00.995  	68943 Table ChrCustomizationReqChoice RecID 3855 VALIDATION_RESULT_VALID
10/9 20:34:00.995  	68943 Table ChrCustomizationReqChoice RecID 3856 VALIDATION_RESULT_VALID
10/9 20:34:00.995  	68943 Table ChrCustomizationReqChoice RecID 3857 VALIDATION_RESULT_VALID
10/9 20:34:00.995  	68943 Table ChrCustomizationReqChoice RecID 3858 VALIDATION_RESULT_VALID
10/9 20:34:00.995  	68943 Table ChrCustomizationReqChoice RecID 3859 VALIDATION_RESULT_VALID
10/9 20:34:00.995  	68943 Table ChrCustomizationReqChoice RecID 3860 VALIDATION_RESULT_VALID
10/9 20:34:00.995  	68943 Table ChrCustomizationReqChoice RecID 3861 VALIDATION_RESULT_VALID
10/9 20:34:00.995  	68943 Table ChrCustomizationReqChoice RecID 3862 VALIDATION_RESULT_VALID
10/9 20:34:00.995  	68943 Table ChrCustomizationReqChoice RecID 3863 VALIDATION_RESULT_VALID
10/9 20:34:00.995  	68943 Table ChrCustomizationReqChoice RecID 3864 VALIDATION_RESULT_VALID
10/9 20:34:00.995  	68943 Table ChrCustomizationReqChoice RecID 3865 VALIDATION_RESULT_VALID
10/9 20:34:00.995  	68943 Table ChrCustomizationReqChoice RecID 3866 VALIDATION_RESULT_VALID
10/9 20:34:00.995  	68943 Table ChrCustomizationReqChoice RecID 3867 VALIDATION_RESULT_VALID
10/9 20:34:00.995  	68943 Table ChrCustomizationReqChoice RecID 3868 VALIDATION_RESULT_VALID
10/9 20:34:00.995  	68943 Table ChrCustomizationReqChoice RecID 3869 VALIDATION_RESULT_VALID
10/9 20:34:00.995  	68943 Table ChrCustomizationReqChoice RecID 3870 VALIDATION_RESULT_VALID
10/9 20:34:00.995  	68943 Table ChrCustomizationReqChoice RecID 3871 VALIDATION_RESULT_VALID
10/9 20:34:00.995  	68943 Table ChrCustomizationReqChoice RecID 3872 VALIDATION_RESULT_VALID
10/9 20:34:00.995  	68943 Table ChrCustomizationReqChoice RecID 3873 VALIDATION_RESULT_VALID
10/9 20:34:00.995  	68943 Table ChrCustomizationReqChoice RecID 3874 VALIDATION_RESULT_VALID
10/9 20:34:00.995  	68943 Table ChrCustomizationReqChoice RecID 3875 VALIDATION_RESULT_VALID
10/9 20:34:00.995  	68943 Table ChrCustomizationReqChoice RecID 3876 VALIDATION_RESULT_VALID
10/9 20:34:00.995  	68943 Table ChrCustomizationReqChoice RecID 3877 VALIDATION_RESULT_VALID
10/9 20:34:00.995  	68943 Table ChrCustomizationReqChoice RecID 3878 VALIDATION_RESULT_VALID
10/9 20:34:00.995  	68943 Table ChrCustomizationReqChoice RecID 3879 VALIDATION_RESULT_VALID
10/9 20:34:00.995  	68943 Table ChrCustomizationReqChoice RecID 3880 VALIDATION_RESULT_VALID
10/9 20:34:00.995  	68943 Table ChrCustomizationReqChoice RecID 3881 VALIDATION_RESULT_VALID
10/9 20:34:00.995  	68943 Table ChrCustomizationReqChoice RecID 3882 VALIDATION_RESULT_VALID
10/9 20:34:00.995  	68943 Table ChrCustomizationReqChoice RecID 3883 VALIDATION_RESULT_VALID
10/9 20:34:00.995  	68943 Table ChrCustomizationReqChoice RecID 3884 VALIDATION_RESULT_VALID
10/9 20:34:00.995  	68943 Table ChrCustomizationReqChoice RecID 3885 VALIDATION_RESULT_VALID
10/9 20:34:00.995  	68943 Table ChrCustomizationReqChoice RecID 3886 VALIDATION_RESULT_VALID
10/9 20:34:00.995  	68943 Table ChrCustomizationReqChoice RecID 3887 VALIDATION_RESULT_VALID
10/9 20:34:00.995  	68943 Table ChrCustomizationReqChoice RecID 3888 VALIDATION_RESULT_VALID
10/9 20:34:00.995  	68943 Table ChrCustomizationReqChoice RecID 3889 VALIDATION_RESULT_VALID
10/9 20:34:00.995  	68943 Table ChrCustomizationReqChoice RecID 3890 VALIDATION_RESULT_VALID
10/9 20:34:00.995  	68943 Table ChrCustomizationReqChoice RecID 3891 VALIDATION_RESULT_VALID
10/9 20:34:00.995  	68943 Table ChrCustomizationReqChoice RecID 3892 VALIDATION_RESULT_VALID
10/9 20:34:00.995  	68943 Table ChrCustomizationReqChoice RecID 3893 VALIDATION_RESULT_VALID
10/9 20:34:00.995  	68943 Table ChrCustomizationReqChoice RecID 3894 VALIDATION_RESULT_VALID
10/9 20:34:00.995  	68943 Table ChrCustomizationReqChoice RecID 3895 VALIDATION_RESULT_VALID
10/9 20:34:00.995  	68943 Table ChrCustomizationReqChoice RecID 3896 VALIDATION_RESULT_VALID
10/9 20:34:00.995  	68943 Table ChrCustomizationReqChoice RecID 3897 VALIDATION_RESULT_VALID
10/9 20:34:00.995  	68943 Table ChrCustomizationReqChoice RecID 3898 VALIDATION_RESULT_VALID
10/9 20:34:00.995  	68943 Table ChrCustomizationReqChoice RecID 3899 VALIDATION_RESULT_VALID
10/9 20:34:00.995  	68943 Table ChrCustomizationReqChoice RecID 3900 VALIDATION_RESULT_VALID
10/9 20:34:00.995  	68943 Table ChrCustomizationReqChoice RecID 3901 VALIDATION_RESULT_VALID
10/9 20:34:00.995  	68943 Table ChrCustomizationReqChoice RecID 3902 VALIDATION_RESULT_VALID
10/9 20:34:00.995  	68943 Table ChrCustomizationReqChoice RecID 3903 VALIDATION_RESULT_VALID
10/9 20:34:00.995  	68943 Table ChrCustomizationReqChoice RecID 3904 VALIDATION_RESULT_VALID
10/9 20:34:00.995  	68943 Table ChrCustomizationReqChoice RecID 3905 VALIDATION_RESULT_VALID
10/9 20:34:00.995  	68943 Table ChrCustomizationReqChoice RecID 3906 VALIDATION_RESULT_VALID
10/9 20:34:00.995  	68943 Table ChrCustomizationReqChoice RecID 3907 VALIDATION_RESULT_VALID
10/9 20:34:00.995  	68943 Table ChrCustomizationReqChoice RecID 3908 VALIDATION_RESULT_VALID
10/9 20:34:00.995  	68943 Table ChrCustomizationReqChoice RecID 3909 VALIDATION_RESULT_VALID
10/9 20:34:00.995  	68943 Table ChrCustomizationReqChoice RecID 3910 VALIDATION_RESULT_VALID
10/9 20:34:00.995  	68943 Table ChrCustomizationReqChoice RecID 3911 VALIDATION_RESULT_VALID
10/9 20:34:00.995  	68943 Table ChrCustomizationReqChoice RecID 3912 VALIDATION_RESULT_VALID
10/9 20:34:00.995  	68943 Table ChrCustomizationReqChoice RecID 3913 VALIDATION_RESULT_VALID
10/9 20:34:00.995  	68943 Table ChrCustomizationReqChoice RecID 3914 VALIDATION_RESULT_VALID
10/9 20:34:00.995  	68943 Table ChrCustomizationReqChoice RecID 3915 VALIDATION_RESULT_VALID
10/9 20:34:00.995  	68943 Table ChrCustomizationReqChoice RecID 3916 VALIDATION_RESULT_VALID
10/9 20:34:00.995  	68943 Table ChrCustomizationReqChoice RecID 3917 VALIDATION_RESULT_VALID
10/9 20:34:00.995  	68943 Table ChrCustomizationReqChoice RecID 3918 VALIDATION_RESULT_VALID
10/9 20:34:00.995  	68943 Table ChrCustomizationReqChoice RecID 3919 VALIDATION_RESULT_VALID
10/9 20:34:00.995  	68943 Table ChrCustomizationReqChoice RecID 3920 VALIDATION_RESULT_VALID
10/9 20:34:00.995  	68943 Table ChrCustomizationReqChoice RecID 3921 VALIDATION_RESULT_VALID
10/9 20:34:00.995  	68943 Table ChrCustomizationReqChoice RecID 3922 VALIDATION_RESULT_VALID
10/9 20:34:00.995  	68943 Table ChrCustomizationReqChoice RecID 3923 VALIDATION_RESULT_VALID
10/9 20:34:00.995  	68943 Table ChrCustomizationReqChoice RecID 3924 VALIDATION_RESULT_VALID
10/9 20:34:00.995  	68943 Table ChrCustomizationReqChoice RecID 3925 VALIDATION_RESULT_VALID
10/9 20:34:00.995  	68943 Table ChrCustomizationReqChoice RecID 3926 VALIDATION_RESULT_VALID
10/9 20:34:00.995  	68943 Table ChrCustomizationReqChoice RecID 3927 VALIDATION_RESULT_VALID
10/9 20:34:00.995  	68943 Table ChrCustomizationReqChoice RecID 3928 VALIDATION_RESULT_VALID
10/9 20:34:00.995  	68943 Table ChrCustomizationReqChoice RecID 3929 VALIDATION_RESULT_VALID
10/9 20:34:00.995  	68943 Table ChrCustomizationReqChoice RecID 3930 VALIDATION_RESULT_VALID
10/9 20:34:00.995  	68943 Table ChrCustomizationReqChoice RecID 3931 VALIDATION_RESULT_VALID
10/9 20:34:00.995  	68943 Table ChrCustomizationReqChoice RecID 3932 VALIDATION_RESULT_VALID
10/9 20:34:00.995  	68943 Table ChrCustomizationReqChoice RecID 3933 VALIDATION_RESULT_VALID
10/9 20:34:00.995  	68943 Table ChrCustomizationReqChoice RecID 3934 VALIDATION_RESULT_VALID
10/9 20:34:00.995  	68943 Table ChrCustomizationReqChoice RecID 3935 VALIDATION_RESULT_VALID
10/9 20:34:00.995  	68943 Table ChrCustomizationReqChoice RecID 3936 VALIDATION_RESULT_VALID
10/9 20:34:00.995  	68943 Table ChrCustomizationReqChoice RecID 3937 VALIDATION_RESULT_VALID
10/9 20:34:00.995  	68943 Table ChrCustomizationReqChoice RecID 3938 VALIDATION_RESULT_VALID
10/9 20:34:00.995  	68943 Table ChrCustomizationReqChoice RecID 3939 VALIDATION_RESULT_VALID
10/9 20:34:00.995  	68943 Table ChrCustomizationReqChoice RecID 3940 VALIDATION_RESULT_VALID
10/9 20:34:00.995  	68943 Table ChrCustomizationReqChoice RecID 3941 VALIDATION_RESULT_VALID
10/9 20:34:00.995  	68943 Table ChrCustomizationReqChoice RecID 3942 VALIDATION_RESULT_VALID
10/9 20:34:00.995  	68943 Table ChrCustomizationReqChoice RecID 3943 VALIDATION_RESULT_VALID
10/9 20:34:00.995  	68943 Table ChrCustomizationReqChoice RecID 3944 VALIDATION_RESULT_VALID
10/9 20:34:00.995  	68943 Table ChrCustomizationReqChoice RecID 3945 VALIDATION_RESULT_VALID
10/9 20:34:00.995  	68943 Table ChrCustomizationReqChoice RecID 3946 VALIDATION_RESULT_VALID
10/9 20:34:00.995  	68943 Table ChrCustomizationReqChoice RecID 3947 VALIDATION_RESULT_VALID
10/9 20:34:00.995  	68943 Table ChrCustomizationReqChoice RecID 3948 VALIDATION_RESULT_VALID
10/9 20:34:00.995  	68943 Table ChrCustomizationReqChoice RecID 3949 VALIDATION_RESULT_VALID
10/9 20:34:00.995  	68943 Table ChrCustomizationReqChoice RecID 3950 VALIDATION_RESULT_VALID
10/9 20:34:00.995  	68943 Table ChrCustomizationReqChoice RecID 3951 VALIDATION_RESULT_VALID
10/9 20:34:00.995  	68943 Table ChrCustomizationReqChoice RecID 3952 VALIDATION_RESULT_VALID
10/9 20:34:00.995  	68943 Table ChrCustomizationReqChoice RecID 3953 VALIDATION_RESULT_VALID
10/9 20:34:00.995  	68943 Table ChrCustomizationReqChoice RecID 3954 VALIDATION_RESULT_VALID
10/9 20:34:00.995  	68943 Table ChrCustomizationReqChoice RecID 3955 VALIDATION_RESULT_VALID
10/9 20:34:00.995  	68943 Table ChrCustomizationReqChoice RecID 3956 VALIDATION_RESULT_VALID
10/9 20:34:00.995  	68943 Table ChrCustomizationReqChoice RecID 3957 VALIDATION_RESULT_VALID
10/9 20:34:00.995  	68943 Table ChrCustomizationReqChoice RecID 3958 VALIDATION_RESULT_VALID
10/9 20:34:00.995  	68943 Table ChrCustomizationReqChoice RecID 3959 VALIDATION_RESULT_VALID
10/9 20:34:00.995  	68943 Table ChrCustomizationReqChoice RecID 3960 VALIDATION_RESULT_VALID
10/9 20:34:00.995  	68943 Table ChrCustomizationReqChoice RecID 3961 VALIDATION_RESULT_VALID
10/9 20:34:00.995  	68943 Table ChrCustomizationReqChoice RecID 3962 VALIDATION_RESULT_VALID
10/9 20:34:00.995  	68943 Table ChrCustomizationReqChoice RecID 3963 VALIDATION_RESULT_VALID
10/9 20:34:00.995  	68943 Table ChrCustomizationReqChoice RecID 3964 VALIDATION_RESULT_VALID
10/9 20:34:00.995  	68943 Table ChrCustomizationReqChoice RecID 3965 VALIDATION_RESULT_VALID
10/9 20:34:00.995  	68943 Table ChrCustomizationReqChoice RecID 3966 VALIDATION_RESULT_VALID
10/9 20:34:00.995  	68943 Table ChrCustomizationReqChoice RecID 3967 VALIDATION_RESULT_VALID
10/9 20:34:00.995  	68943 Table ChrCustomizationReqChoice RecID 3968 VALIDATION_RESULT_VALID
10/9 20:34:00.995  	68943 Table ChrCustomizationReqChoice RecID 3969 VALIDATION_RESULT_VALID
10/9 20:34:00.995  	68943 Table ChrCustomizationReqChoice RecID 3970 VALIDATION_RESULT_VALID
10/9 20:34:00.995  	68943 Table ChrCustomizationReqChoice RecID 3971 VALIDATION_RESULT_VALID
10/9 20:34:00.995  	68943 Table ChrCustomizationReqChoice RecID 3972 VALIDATION_RESULT_VALID
10/9 20:34:00.995  	68943 Table ChrCustomizationReqChoice RecID 3973 VALIDATION_RESULT_VALID
